IndustryID|NameEn|NameEn Short|NameTc|NameSc|Ordering
1|Packaging|Packaging|包裝|包装|10
2|Automotive|Automotive|汽車|汽车|20
3|Building & Construction|Building & Construction|建築|建筑|30
4|"Electronic Products, Electrical Appliances, IT &Telecommunication"|Electrical & Electronics|電子信息及電器|电子信息及电器|40
5|Medical|Medical|醫療|医疗|50
6|Food & Beverage|Food & Beverage|食品飲料|食品饮料|60
7|Daily Chemicals|Daily Chemicals|日用化工|日用化工|70
8|LED Lighting |LED Lighting |LED 照明|LED 照明|80
9|"Aerospace, Aviation, Railway Transport"|"Aerospace, Aviation, Railway Transport"|航天、航空、軌道交通|航天、航空、軌道交通|90
10|New Energy|New Energy|新能源|新能源|100
